# cx cy
331.70 83.48
450.57 44.59
262.52 134.95
434.39 139.73
0.00 0.00
1164.62 87.19
798.42 159.53
1116.43 133.30
202.70 218.15
608.99 230.49
183.45 318.07
522.86 325.21
922.03 226.60
1069.42 209.09
880.45 318.29
1367.00 356.00
0.00 0.00
1816.57 75.99
1689.24 163.73
1756.24 121.18
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
1611.82 223.61
0.00 0.00
1483.60 317.27
0.00 0.00
2220.78 229.47
2713.16 252.88
2128.44 313.20
2648.08 312.92
260.32 368.30
450.49 371.97
0.00 0.00
638.16 507.30
865.05 399.59
1303.68 407.70
780.57 485.29
1282.01 455.38
0.00 0.00
573.63 577.04
0.00 0.00
557.28 666.70
728.47 572.17
0.00 0.00
689.00 621.00
0.00 0.00
1540.31 407.42
1893.84 418.35
1497.21 459.04
1886.93 465.61
2092.98 409.65
2566.58 402.68
2243.95 472.92
2510.94 489.48
0.00 0.00
0.00 0.00
0.00 0.00
0.00 0.00
2331.08 535.27
2607.25 535.84
0.00 0.00
0.00 0.00
